1;fr;Qui est depuis décembre 2021 directrice du tournoi de Roland-Garros ?;Amélie Mauresmo;Mary Pierce;Nathalie Tauziat;Julie Halard;Débutant;Professionnelle de 1993 à 2009, elle a remporté vingt-cinq titres en simple sur le circuit WTA, dont trois tournois majeurs.;https://fr.wikipedia.org/wiki/Amélie_Mauresmo
2;fr;Quelle judoka a remporté le bronze à Londres et l'argent à Rio ?;Audrey Tcheuméo;Mayra Aguiar;Madeleine Malonga;Inbar Lanir;Débutant;Audrey Tcheuméo a également donné son nom à un gymnase de Villemomble où l'on peut pratiquer différents types de sport.;https://fr.wikipedia.org/wiki/Audrey_Tcheuméo
3;fr;Quelle spécialiste du quatre nages a trouvé la mort à seulement 25 ans ?;Camille Muffat;Katie Ledecky;Brooke Bennett;Michelle Smith;Débutant;Au plus haut niveau, elle battra à 15 ans Laure Manaudou sur 200m 4 nages lors des Championnats de France 2005.;https://fr.wikipedia.org/wiki/Camille_Muffat
4;fr;Quelle nageuse pratiquant les quatre nages fut entraînée par Philippe Lucas ?;Laure Manaudou;Ariarne Titmus;Katie Ledecky;Janet Evans;Débutant;Elle évolue désormais fréquemment comme consultante sur les épreuves de natation dans les grands événements à la télévision.;https://fr.wikipedia.org/wiki/Laure_Manaudou
5;fr;Quelle coureuse cycliste possède un palmarès de soixante titres nationaux ?;Jeannie Longo;Catherine Marsal;Sonia Huguet;Mélodie Lesueur;Débutant;En parallèle à ses activités sportives, elle joue du piano avec une participation au concours annuel international de piano de Besançon.;https://fr.wikipedia.org/wiki/Jeannie_Longo
6;fr;Qui fut la première joueuse de tennis Russe à remporter Wimbledon ?;Maria Sharapova;Elena Bovina;Maria Kirilenko;Tatiana Panova;Débutant;Contrôlée positive au meldonium en 2016, Maria Sharapova sera suspendue pour deux ans par la Fédération internationale de tennis.;https://fr.wikipedia.org/wiki/Maria_Sharapova
7;fr;Qui est la créatrice d'un mouvement sur la glace, le salto arrière ?;Surya Bonaly;Simone Poujade;Gaby Barbey;Fanny Besson;Débutant;Naturalisée américaine, Surya Bonaly a commencé sa carrière d'entraîneur à Las Vegas (où elle vit), puis à Minneapolis.;https://fr.wikipedia.org/wiki/Surya_Bonaly
8;fr;Quelle spécialiste de l'épée est devenue femme politique française ?;Laura Flessel;Timea Nagy;Britta Heidemann;Valérie Barlois;Débutant;Elle fut quintuple médaillée olympique et remporta les deux médailles d'or des débuts de l'épée féminine aux JO de 1996.;https://fr.wikipedia.org/wiki/Laura_Flessel
9;fr;Qui est la seule athlète française à être triple championne olympique ?;Marie-José Pérec;Muriel Hurtis;Sandra Myers;Marita Koch;Débutant;En 1992 aux Jeux de Barcelone sur 400 mètres et deux fois aux Jeux d'Atlanta en 1996 sur 400 mètres et 200 mètres.;https://fr.wikipedia.org/wiki/Marie-José_Pérec
10;fr;Quelle gymnaste roumaine a obtenu la note de 10 en compétition olympique ?;Nadia Comaneci;Oana Ban;Alexandra Eremia;Catalina Ponor;Débutant;Ses rapports avec l'État roumain dirigé par Nicolae Ceausescu, huit ans après la fin de sa carrière, elle quitta le pays pour le États-Unis.;https://fr.wikipedia.org/wiki/Nadia_Com ?neci
11;fr;Quelle kitesurfeuse française est triple championne du monde de vitesse ?;Charlotte Consorti;Aurélie Godet;Alexia Fancelli;Anne-Laure Pégon;Confirmé;Quand elle ne voyage pas à travers le monde, c'est en Méditerranée que Charlotte Consorti continue de s'entraîner.;https://fr.wikipedia.org/wiki/Charlotte_Consorti
12;fr;Quelle capitaine de l'OL Reign fut meilleure buteuse du Mondial 2019 ?;Megan Rapinoe;Ada Hegerberg;Alexia Putellas;Alex Morgan;Confirmé;Megan Rapinoe a été choisie à deux reprises comme faisant partie des cent personnes les plus influentes du magazine Time.;https://fr.wikipedia.org/wiki/Megan_Rapinoe
13;fr;Quelle norvégienne a remporté le premier Ballon d'or féminin France Football ?;Ada Hegerberg;Linda Medalen;Julie Blakstad;Andrea Norheim;Confirmé;De par ses performances uniques en leur genre et ses engagements, Ada Hegerberg est l'une des figures majeures de son sport.;https://fr.wikipedia.org/wiki/Ada_Hegerberg
14;fr;Qui fut la première femme à remporter une course dans un Grand Prix moto ?;Ana Carrasco;Maria Herrera;Gina Bovaird;Lucy Glockner;Confirmé;En 2018, Ana Carrasco s'imposera lors de deux courses, en Italie et au Royaume-Uni, et remportera le Supersport 300 de 2018.;https://fr.wikipedia.org/wiki/Ana_Carrasco
15;fr;Quelle joueuse de tennis américaine a fondé la WTA en 1973 ?;Billie Jean King;Virginia Wade;Tracy Austin;Angela Mortimer;Confirmé;Billie Jean King détient, avec Martina Navrátilova, le record de vingt sacres dans le temple londonien de Wimbledon.;https://fr.wikipedia.org/wiki/Billie_Jean_King
16;fr;Quelle meneuse de l'équipe de France de basket-ball est surnommée Caps ?;Céline Dumerc;Marine Fauthoux;Laura Gil;Kendra Chéry;Confirmé;Avec 262 sélections, elle détient le record de sélections en équipe de France de basket-ball hommes et femmes confondus.;https://fr.wikipedia.org/wiki/Céline_Dumerc
