1;fr;Que représente le logo de l'application mobile Snapchat ?;Fantôme;Ours;Appareil photo;Singe;Débutant;Snapchat permet d'être visible par n'importe qui, pour ses amis uniquement ou pour personne (ce qu'on appelle le mode fantôme).;https://fr.wikipedia.org/wiki/Snapchat
2;fr;Quel outil de Snapchat permet depuis 2014 d'envoyer de l'argent ?;Snapcash;Snapcoin;Snapmoney;Snapsend;Débutant;La volonté de Snapchat étant de fidéliser ses utilisateurs, de nombreux services associés ont été proposés ces derniers temps.;https://fr.wikipedia.org/wiki/Snapchat
3;fr;Quelle est la tranche d'âge de 85 % des utilisateurs de Snapchat ?;13 à 34 ans;35 à 46 ans;47 à 59 ans;60 à 78 ans;Débutant;Le côté éphémère et rapide de l'utilisation des options de Snapchat attire plus les jeunes que les utilisateurs plus âgés.;https://fr.wikipedia.org/wiki/Snapchat
4;fr;Quel est le nouveau nom de l'entreprise chargée de gérer Snapchat ?;Snap Inc.;Celestia;Brady;Enbridge;Débutant;L'entreprise Snapchat Inc. fut créée en septembre 2011, mois qui marqua le lancement de Snapchat sur l'App Store.;https://fr.wikipedia.org/wiki/Snap_Inc.
5;fr;Quel élément de Snapchat a été modifié début février 2018 ?;Interface;Prix;Publicité;PDG;Débutant;Une pétition regroupant plus d'un million de signatures fut même lancée pour réclamer le retour à l'ancienne version.;https://fr.wikipedia.org/wiki/Snapchat
6;fr;Sous quels environnements l'application Snapchat est-elle disponible ?;IOS et Android;Windows et IOS;Palm et Windows;IOS et Palm;Débutant;Suite au piratage dont Snapchat a été victime le 31 décembre 2013, l'application n'est plus disponible sous Windows Phone.;https://fr.wikipedia.org/wiki/Snapchat
7;fr;Quelle couleur est généralement associée à Snapchat ?;Jaune;Vert;Rouge;Bleu;Débutant;Le fantôme sur fond jaune permet d'immédiatement identifier un utilisateur qui se connecte au réseau social Snapchat.;https://fr.wikipedia.org/wiki/Snapchat
8;fr;Dans quel État des États-Unis l'application Snapchat a-t-elle été développée ?;Californie;Montana;Texas;Ohio;Débutant;L'économie de la Californie représente 13 % du PIB des États-Unis et serait à elle seule la sixième puissance économique mondiale.;https://fr.wikipedia.org/wiki/Économie_de_la_Californie
9;fr;Quelle est la durée minimale d'une publication sur Snapchat ?;1 seconde;6 secondes;10 secondes;15 secondes;Débutant;Cette période de temps va en fait d'une à dix secondes, mais aussi, depuis récemment, sans limite de durée.;https://fr.wikipedia.org/wiki/Snapchat
10;fr;Sur quelle plateforme Snapchat a-t-il été lancé en premier ?;Apple Store;Google Play;F-Droid;Ovi Store;Débutant;L'application Snapchat a été lancée en septembre 2011 sur l'App Store d'Apple, puis en novembre 2012 sur Android.;https://fr.wikipedia.org/wiki/Snapchat
