1;fr;Dans la plupart des oeuvres, comment fait-on pour venir à bout d'un zombie ?;Viser la tête;Le brûler;L'étouffer;Le nourrir;Débutant;Bien que la pandémie virale soit fréquemment utilisée, il n'existe aucune règle concernant l'apparition du phénomène des zombies.;https://fr.wikipedia.org/wiki/Zombie
2;fr;Avec quelle arme Michonne se bat-t-elle dans « The Walking Dead » ?;Katana;Machette;Hache;Arbalète;Débutant;Michonne a tué le huitième plus grand nombre de personnages vivants avec un total minimum de quarante-trois victimes.;https://fr.wikipedia.org/wiki/Michonne
3;fr;Quelle société de recherches a mis au point le virus T dans « Resident Evil » ?;Umbrella;Aperture Science;Vault-Tec;Biotechnica;Débutant;Umbrella est créée en 1968 par les trois découvreurs du virus Progenitor : Oswell E. Spencer, James Marcus, et Edward Ashford.;https://fr.wikipedia.org/wiki/Umbrella_Corporation
4;fr;Quel chanteur pop s'est illustré à danser aux cotés de zombies dans un clip culte ?;Michael Jackson;David Bowie;Justin Timberlake;The Weekend;Débutant;« Thriller » est un clip vidéo de la chanson « Thriller » de Michael Jackson, réalisé par John Landis et écrit par Landis et Michael Jackson.;https://fr.wikipedia.org/wiki/Thriller_(clip_de_Michael_Jackson)
5;fr;Dans quel type de bâtiment les héros du film « L'Armée des morts » se barricadent-ils ?;Centre commercial;Église;Bar;Ferme;Débutant;Dans le film original de Romero, les zombies se déplacent très lentement et sont plus menaçants quand ils sont en grands groupes.;https://fr.wikipedia.org/wiki/L'Armée_des_morts
6;fr;Dans « The Walking Dead » (comics et série), dans quel lieu Rick se réveille-t-il ?;Hôpital;Commissariat;Hôtel;Caserne;Débutant;La série raconte l'histoire d'un groupe de survivants mené par Rick Grimes qui tente de survivre dans un monde post-apocalyptique.;https://fr.wikipedia.org/wiki/The_Walking_Dead_(série_télévisée)
7;fr;Le zombie était avant tout une figure folklorique provenant de quel pays ?;Haïti;France;Sénégal;Japon;Débutant;Le zombie (ou zombi) trouve ses origines dans la culture haïtienne et sert également à qualifier les victimes de sortilèges vaudous.;https://fr.wikipedia.org/wiki/Zombie
8;fr;Dans quel pays se situe l'action du film « REC », sorti en 2007 ?;Espagne;Portugal;France;Angleterre;Débutant;L'idée à la genèse du film fut de placer le spectateur au centre de l'histoire et de relier l'horreur au documentaire (found footage).;https://fr.wikipedia.org/wiki/Rec_(film)
9;fr;Quel groupe irlandais a utilisé le mot zombie comme titre d'une chanson ?;The Cranberries;U2;Celtic Woman;The Script;Débutant;The Cranberries annonça en septembre 2018 que le groupe ne continuera pas sans Dolores O'Riordan, morte par noyade en 2018.;https://fr.wikipedia.org/wiki/The_Cranberries
10;fr;Dans « Left 4 Dead », tirer sur un boomer aura tendance à le faire quoi ?;Exploser;Rire;Pleurer;Sautiller;Débutant;Le Boomer (Exploseur ou Vommisseur) est un infecté très corpulent, lent et mou avec un nombre de points de vie très faible (50).;https://fr.wikipedia.org/wiki/Left_4_Dead
11;fr;Au japon, la franchise a succès « Resident Evil » porte quel autre nom ?;« Biohazard »;« Dead island »;« Project Zomboïd »;« DayZ »;Confirmé;Ayant fait ses débuts sur PlayStation en 1996, grâce à son succès, de nombreuses suites furent réalisées sur beaucoup de consoles.;https://fr.wikipedia.org/wiki/Resident_Evil
12;fr;Quel acteur interprète Daryl Dixon dans la série « The Walking Dead » ?;Norman Reedus;Andrew Lincoln;Jeffrey Dean Morgan;Steven Yeun;Confirmé;Ce personnage original, populaire auprès des amateurs de l'adaptation, a été créé exclusivement pour la série télévisée.;https://fr.wikipedia.org/wiki/The_Walking_Dead_(série_télévisée)
13;fr;Quels infectés aveugles se repèrent par écholocalisation dans « The Last of Us » ?;Claqueurs;Coureurs;Rôdeurs;Colosses;Confirmé;Les infectés sont des humains vivants ayant été infectés par contact avec le sang ou en respirant des spores en suspension dans l'air.;https://fr.wikipedia.org/wiki/The_Last_of_Us
14;fr;De quoi les héros de « Walking Dead » se badigeonnent-ils face aux zombies ?;Restes de zombies;Boue;Urine;Essence;Confirmé;La série télévisée a généralement tendance à suivre et s'inspirer des trames et personnages de la série de comics de Robert Kirkman.;https://fr.wikipedia.org/wiki/The_Walking_Dead_(série_télévisée)
15;fr;Quel DLC d'épouvante de « Red Dead Redemption » met en scène des zombies ?;« Undead Nightmare »;« Western Zombie »;« Night of Dead »;« Army of the Dead »;Confirmé;Le jeu « Red Dead Redemption » fait partie de la série de jeux vidéo « Red Dead » et est le successeur de « Red Dead Revolver ».;https://fr.wikipedia.org/wiki/Red_Dead_Redemption
16;fr;Quel champignon est responsable de la contamination dans « The Last of Us » ?;Cordyceps;Marasme;Amanite;Hericium;Confirmé;Le cordyceps existe bel et bien, mais fort heureusement pour nous, il n'infecte que les insectes, les araignées et d'autres champignons.;https://fr.wikipedia.org/wiki/Cordyceps
17;fr;Dans le livre « World War Z », la pandémie commence dans quel pays ?;Chine;Pakistan;Sibérie;États-Unis;Confirmé;« World War Z » est aussi un film américain réalisé par Marc Forster, sorti en 2013, où l'on suit un ancien employé de l'ONU Gerry Lane.;https://fr.wikipedia.org/wiki/World_War_Z
