1;fr;Comment se prénomme le cow-boy héros de la saga « Toy Story » ?;Woody;Randy;Jessy;Pile-Poil;Débutant;Woody est loyal, toujours prêt à aider les autres et ferait n'importe quoi pour Andy.;https://fr.wikipedia.org/wiki/Toy_Story
2;fr;Qui est l'ennemi de Woody au début de « Toy Story », devenant par la suite son ami ?;Buzz;Rex;Sid;Razmotte;Débutant;Le plus grand défaut de Buzz l'Éclair est de se prendre continuellement pour un vrai ranger de l'espace.;https://fr.wikipedia.org/wiki/Buzz_l'Éclair
3;fr;Combien d'yeux ont les extraterrestres vendus dans un des jeux d'arcade de Pizza Planet ?;Trois;Deux;Un seul;Quatre;Débutant;Les aliens sont tous identiques : de couleur verte, costume bleu, une antenne et trois yeux.;https://fr.wikipedia.org/wiki/Toy_Story
4;fr;Quel effrayant voisin d'Andy torture les jouets dans « Toy Story » ?;Sid;Ted;Chuck;Zurg;Débutant;Dans « Toy Story 3 », Sid est devenu éboueur et ramasse les poubelles dans le quartier d'Andy.;https://fr.wikipedia.org/wiki/Sid_(homonymie)
5;fr;Dans quel restaurant la maman d'Andy l'a-t-elle invité pour aller manger des pizzas ?;Pizza Planet;Pizza Paï;Pizza Hut;Pizza Lunch;Débutant;Les restaurants Pizza Planet, ayant pour logo une fusée rouge et blanche, prennent pour thème l'espace et la science-fiction.;https://fr.wikipedia.org/wiki/Pizza_Planet
6;fr;De quels studios est sorti « Toy Story », premier long-métrage en images de synthèse ?;Pixar;Marvel;Touchstone;Sony;Débutant;Pixar a été créé en 1979 sous le nom de Graphics Group, un service de la division informatique de Lucasfilm.;https://fr.wikipedia.org/wiki/Pixar_Animation_Studios
7;fr;En quelle année est sorti le tout premier volet de la saga « Toy Story » ?;1995;2000;2005;2010;Débutant;En 2015, de nombreuses télévisions ont fêté le vingtième anniversaire de la saga au succès planétaire.;https://fr.wikipedia.org/wiki/Toy_Story
8;fr;À la garderie, dans « Toy Story 3 », de qui Barbie tombe-t-elle follement amoureuse ?;Ken;GI Joe;Ben 10;Sid;Débutant;Ken et Barbie, un des ex-jouets de Molly, se déclarent leurs sentiments et seule Barbie échappe à leur terrifiante destinée.;https://fr.wikipedia.org/wiki/Toy_Story_3
9;fr;Dans quel film le trio extraterrestre est-il adopté par Monsieur et Madame Patate ?;« Toy Story 2 »;« Toy Story »;« Toy Story 3 »;« Toy Story 4 »;Débutant;Les aliens proviennent du restaurant Pizza Planet et sont des jouets à gagner au jeu du grappin.;https://fr.wikipedia.org/wiki/Toy_Story_2
10;fr;Qui est le jouet préféré d'Andy au début du film « Toy Story » ?;Woody;Rex;Buzz;Monsieur Patate;Débutant;Woody est un cow-boy doté d'une corde vocale dans son dos, qui émet des phrases lorsqu'on la tire.;https://fr.wikipedia.org/wiki/Toy_Story
11;fr;Comment s'appelle le chien d'Andy dans la saga « Toy Story » ?;Razmotte;Pile-Poil;Scud;Lotso;Confirmé;Contrairement à leurs craintes initiales, Razmotte est devenu, pour les jouets de la chambre d'Andy, un compagnon de jeu.;https://fr.wikipedia.org/wiki/Toy_Story_2
12;fr;À qui appartiennent les jouets dont font partie Woody, Buzz et ses amis ?;Andy;Sid;Lisa;Daisy;Confirmé;Andy tient énormément à tous ses jouets, et certains plus que d'autres, au point de les garder jusque dans son adolescence.;https://fr.wikipedia.org/wiki/Toy_Story
13;fr;Dans quel lieu se déroule la scène du combat final dans « Toy Story 2 » ?;Aéroport;Gare;Hôtel;École;Confirmé;« Toy Story 2 » est souvent considéré pour beaucoup comme étant le meilleur opus de la saga « Toy Story ».;https://fr.wikipedia.org/wiki/Toy_Story_2
14;fr;Qui a réalisé les deux premiers films de la saga « Toy Story » ?;John Lasseter;Lee Unkrich;Ralph Guggenheim;Bonnie Arnold;Confirmé;Le 31 octobre 2011, John Lasseter est entré dans la légende en obtenant une étoile sur le Walk of Fame d'Hollywood Boulevard.;https://fr.wikipedia.org/wiki/John_Lasseter
15;fr;Quel acteur américain double la voix du Shérif Woody dans la version originale de « Toy Story » ?;Tom Hanks;Nicolas Cage;Jack Nicholson;Anthony Hopkins;Confirmé;En 2012, les films auxquels a participé Tom Hanks ont généré plus de 4 milliards de dollars.;https://fr.wikipedia.org/wiki/Tom_Hanks
16;fr;Comment Sid, passionné de torture et voisin du jeune Andy, a-t-il appelé son chien ?;Scud;Ken;Ruby;Zurg;Confirmé;De la race des bull terriers, Scud est un chien violent et mal dressé qui adore détruire les jouets qui tombent sous ses crocs.;https://fr.wikipedia.org/wiki/Sid_(homonymie)
17;fr;Lotso, le vieil ours en peluche de « Toy Story 3 », est parfumé avec quelle senteur ?;Fraise;Banane;Framboise;Pomme;Confirmé;Lotso est un gros nounours tout doux avec un corps en peluche rose et blanche et un nez en velours violet.;https://fr.wikipedia.org/wiki/Toy_Story_3
18;fr;Quel dessin retrouve-t-on sur le tee-shirt noir de Sid dans le film « Toy Story » ?;Tête de mort;Smiley;Éclair;Nombre 95;Confirmé;Enfant solitaire, Sid passe la majeure partie de son temps à expérimenter ses idées diaboliques sur les jouets qu'il récupère.;https://fr.wikipedia.org/wiki/Sid_(homonymie)
19;fr;De quelle couleur est la pieuvre Flex dans le film d'animation « Toy Story 3 » ?;Violette;Bleue;Verte;Rouge;Confirmé;Flex est une pieuvre violette possédant des dizaines de petites ventouses sur ses huit longs tentacules.;https://fr.wikipedia.org/wiki/Toy_Story_3
20;fr;Comment se prénomme l'enfant propriétaire de Lotso, Rictus et Big Baby ?;Daisy;Mary;Ruby;Molly;Confirmé;Woody présente à Big Bay et à Lotso un coeur sur lequel est inscrit le nom de Daisy, leur propriétaire.;https://fr.wikipedia.org/wiki/Toy_Story_3
21;fr;Dans « Toy Story 2 », à qui appartenait Jessie avant d'être abandonnée ?;Emily;Mary;Molly;Suzy;Expert;Toujours surexcitée et débordante d'énergie, elle est heureuse de voir Woody à ses côtés.;https://fr.wikipedia.org/wiki/Toy_Story_2
22;fr;Qui se trouve être l'empereur Zurg, dans une référence à Luke Skywalker et Dark Vador ?;Père de Buzz;Fils de Buzz;Frère de Buzz;Oncle de Buzz;Expert;Dans « Toy Story 3 », Zurg fait une apparition dans un carton de jouets donné à la garderie Sunnyside.;https://fr.wikipedia.org/wiki/Empereur_Zurg
23;fr;Dans « Toy Story », qui est l'ennemi juré de Buzz, le cosmonaute ?;Zurg;Spock;Vador;Scud;Expert;Menaçant l'alliance galactique défendue par Buzz, il apparaît à deux reprises dans le film « Toy Story 2 ».;https://fr.wikipedia.org/wiki/Toy_Story_2
24;fr;Quelle est la couleur de la salopette de Papi Pépite dans « Toy Story 2 » ?;Bleue;Rouge;Jaune;Verte;Expert;Papi Pépite n'a jamais été ouvert et figure toujours dans sa boîte, ce qui lui donne une grande valeur aux yeux des collectionneurs.;https://fr.wikipedia.org/wiki/Toy_Story_2
25;fr;Dans « Toy Story 3 », où les jouets d'Andy sont-ils fait prisonniers par l'horrible Lotso ?;À Sunnyside;Chez Bonnie;Au parc;Dans le grenier;Expert;Devenu chef de Sunnyside et régnant à la manière d'un tyran, Lotso présente toutefois une image joviale.;https://fr.wikipedia.org/wiki/Toy_Story_3
26;fr;Avec quel jeu Zig-Zag veut-il passer du temps avec Woody au début du film « Toy Story » ?;Échecs;Cartes;Dames;Jeu de l'oie;Expert;Surnommé Ziggy par Woody, Zig-Zag est un teckel en plastique avec un long ressort en guise de corps.;https://fr.wikipedia.org/wiki/Toy_Story
27;fr;Buzz l'Éclair est probablement le meilleur agent de quelle base de l'espace ?;StarCommand;AstralCorp;MoonLight;SideralStar;Expert;Le prénom de Buzz l'Éclair, le ranger de l'espace, est inspiré de l'astronaute d'Apollo, Buzz Aldrin.;https://fr.wikipedia.org/wiki/Buzz_l'Éclair
28;fr;Dans quelle salle se retrouvent Buzz et ses autres amis dans « Toy Story 3 » ?;Salle des chenilles;Salle des papillons;Salle des fourmis;Salle des limaces;Expert;La salle de Lotso et des autres, qui accueille des enfants beaucoup moins perturbés, est celle des papillons.;https://fr.wikipedia.org/wiki/Toy_Story_3
29;fr;Quel nouvel accessoire possède le Buzz du magasin de jouets dans « Toy Story 2 » ?;Ceinture;Bottes;Pistolet;Gants;Expert;Buzz est en vente chez « Al La ferme aux jouets » et a pour accessoire une ceinture anti-gravitationnelle lui permettant de flotter.;https://fr.wikipedia.org/wiki/Toy_Story_2
30;fr;Dans « Toy Story », quel jouet Molly frappe-t-elle régulièrement sur les barreaux de son parc ?;Monsieur Patate;Woody;Rex;Buzz;Expert;Monsieur Patate peut facilement perdre les accessoires qui s'accrochent à son socle et qui lui servent de visage.;https://fr.wikipedia.org/wiki/Toy_Story
