1;fr;Qui a sculpté avec Tribolo et Montelupo les tombeaux des Médicis à Florence ?;Michel-Ange;Raphaël;Donatello;Vicentino;Débutant;Les tombeaux des Médicis sont deux monuments de la « Nouvelle Sacristie » élaborée à l'intérieur des Chapelles des Médicis.;https://fr.wikipedia.org/wiki/Sagrestia_Nuova
2;fr;Où peut-on voir la « Victoire de Samothrace », sculpture grecque de l'époque hellénistique ?;Musée du Louvre;Centre Pompidou;Tate Gallery;Metro Museum;Débutant;La « Victoire de Samothrace » est une sculpture grecque représentant la déesse Niké, personnification de la victoire.;https://fr.wikipedia.org/wiki/Victoire_de_Samothrace
3;fr;Dans quelle ville de la côte belge trouve-t-on une célèbre statue de Léopold Ier ?;La Panne;Coxyde;Blankenberge;Nieuwport;Débutant;C'est là que le premier roi des belges mit le pied sur « ses » terres en juillet 1831.;https://fr.wikipedia.org/wiki/La_Panne
4;fr;Que représente la sculpture de Marcel Duchamp baptisée « Fontaine » ?;Urinoir;Urne;Utérus;Ulcère;Débutant;Oeuvre controversée de l'art du XXe siècle, « Fontaine » est un ready made, c'est-à-dire un objet tout fait.;https://fr.wikipedia.org/wiki/Fontaine_(Duchamp)
5;fr;Quelle statue monumentale de Michel-Ange trône à Florence ?;David;Goliath;Apollon;Alexandre;Débutant;La statue de 4.34 mètres de hauteur est tirée d'un bloc de marbre blanc de Carrare.;https://fr.wikipedia.org/wiki/David_(Michel-Ange)
6;fr;Quel français est le créateur de la statue de la liberté de New York ?;Auguste Bartholdi;Joseph Desbrosses;Antoine Bourdelle;Anatole Guillot;Débutant;Il est aussi l'auteur de la Fontaine Bartholdi, située Place des Terreaux à Lyon.;https://fr.wikipedia.org/wiki/Frédéric_Auguste_Bartholdi
7;fr;Dans quel musée vous trouvez-vous si vous contemplez la Vénus de Milo ?;Musée du Louvre;Musée Rodin;Musée Hébert;Musée Magnin;Débutant;Le buste de la statue a été mis au jour le 8 avril 1820 à Milo, une île de la mer Égée.;https://fr.wikipedia.org/wiki/Vénus_de_Milo
8;fr;Dans quel musée français peut-on admirer la « Victoire de Samothrace » ?;Musée du Louvre;Musée Rodin;Musée Picasso;Musée d'Orsay;Débutant;Cette sculpture grecque représente la déesse Niké, personnification de la victoire.;https://fr.wikipedia.org/wiki/Victoire_de_Samothrace
9;fr;À quel sculpteur doit-on un désormais célèbre baiser, exposé dans un musée parisien ?;Rodin;Lenoir;Moreau;Choppin;Débutant;« Le Baiser » de Rodin est une sculpture en marbre représentant un couple enlacé réalisée à l'échelle 1.;https://fr.wikipedia.org/wiki/Le_Baiser_(Rodin)
10;fr;Dans quelle ville belge trouve-t-on près du beffroi une statue de Christine de Lalaing ?;Tournai;Mons;Liège;Bruxelles;Débutant;En l'absence de son mari, elle défendit la ville de Tournai contre le prince de Parme.;https://fr.wikipedia.org/wiki/Philippe-Christine_de_Lalaing
11;fr;Dans quel type de sculpture le français Auguste Cain était-il spécialisé ?;Animalière;Funéraire;Monumentale;Architecturale;Confirmé;À partir des années 1860, Auguste Cain commencera à recevoir des commandes officielles.;https://fr.wikipedia.org/wiki/Auguste_Cain
12;fr;Quel célèbre sculpteur a participé à la construction du Parthénon ?;Phidias;Rodin;Galidias;Elias;Confirmé;Phidias sera choisi par Périclès pour superviser l'ensemble des travaux de sculpture.;https://fr.wikipedia.org/wiki/Phidias
13;fr;De combien de personnages est composée la sculpture de Rodin « Les Bourgeois de Calais » ?;Six;Quatre;Deux;Dix;Confirmé;Le plâtre original achevé en 1889 a été édité en onze autres exemplaires en bronze.;https://fr.wikipedia.org/wiki/Les_Bourgeois_de_Calais
14;fr;Quel monument fait de blocs de grès roses se trouve dans la ville de Belfort ?;Lion de Belfort;Les Trois-Sièges;Porte de Brisach;Tour de la Miotte;Confirmé;La sculpture représente un lion couché et blessé prêt à se dresser qui repose sur un piédestal en rocaillage.;https://fr.wikipedia.org/wiki/Lion_de_Belfort
15;fr;À quel sculpteur doit-on la statue équestre de Vercingétorix située à Clermont-Ferrand ?;Auguste Bartholdi;Antoine Bourdelle;Honoré Daumier;Jean Baffier;Confirmé;Cette statue fait face à la statue du général Desaix, sur la place de Jaude.;https://fr.wikipedia.org/wiki/Statue_équestre_de_Vercingétorix_(Frédéric_Auguste
16;fr;Quel artiste suisse du XXe siècle connaît-on surtout pour ses sculptures longilignes ?;Alberto Giacometti;Martin Gramp;Heinz Schwartz;Robert Hainard;Confirmé;À la fin de sa vie, Giacometti sera comblé d'honneurs en remportant de nombreux prix.;https://fr.wikipedia.org/wiki/Alberto_Giacometti
17;fr;Quelle est la hauteur, sans le socle, du « David » de Michel-Ange ?;4.34 mètres;3.26 mètres;5.67 mètres;6.84 mètres;Confirmé;Michel-Ange a représenté David, une fronde à la main, avant son combat contre Goliath.;https://fr.wikipedia.org/wiki/David_(Michel-Ange)
18;fr;À quel sculpteur doit-on le Lion de Belfort, sculpture monumentale en ronde-bosse ?;Auguste Bartholdi;Antoine Bourdelle;Honoré Daumier;Félix Charpentier;Confirmé;Longue de 22 mètres, la sculpture est constituée de blocs de grès rose de Pérouse, sculptés individuellement.;https://fr.wikipedia.org/wiki/Lion_de_Belfort
19;fr;Quel graveur monégasque fut le sculpteur officiel de Napoléon 1er ?;Bosio;Le Bernin;Houdon;Pisano;Confirmé;François-Joseph Bosio fut recruté par Vivant Denon en 1808 pour être le portraitiste de Napoléon Ier.;https://fr.wikipedia.org/wiki/François-Joseph_Bosio
20;fr;De quel sculpteur les oeuvres ne nous sont-elles parvenues que sous forme de copies ?;Myron;Scopas;Phidias;Lysippe;Confirmé;Pline l'Ancien dira de Myron qu'il est « plus fécond » que son rival Polyclète.;https://fr.wikipedia.org/wiki/Myron_(sculpteur)
21;fr;Quelle était la nationalité du sculpteur et peintre Alberto Giacometti ?;Suisse;Argentine;Italienne;Portugaise;Expert;À la fin de sa vie, Giacometti a dénié à ses objets la moindre valeur, pourtant vendus aujourd'hui à plusieurs millions d'euros.;https://fr.wikipedia.org/wiki/Alberto_Giacometti
22;fr;Quel sculpteur français est considéré comme un pionnier de la sculpture animalière ?;Pierre Jules Mène;Serge Mangin;Léon-Ernest Drivier;Raymond Martin;Expert;Il a produit de nombreuses sculptures particulièrement en vogue sous le second empire.;https://fr.wikipedia.org/wiki/Pierre_Jules_Mène
23;fr;Quelles statues grecques, datant de la période archaïque, représentent des hommes nus ?;Des kouroï;Des kores;Des éphèbes;Des callypiges;Expert;Les kouroi, aux visages montrant l'influence de la Crète, sont toujours nus, portant tout au plus une ceinture et parfois des bottes.;https://fr.wikipedia.org/wiki/Kouros
24;fr;Quelle technique de sculpture est observable de tous les côtés ?;La ronde-bosse;Le haut relief;La grande entaille;Le relief pictural;Expert;Ce type de sculpture est le plus souvent utilisé pour des représentations figuratives.;https://fr.wikipedia.org/wiki/Ronde-bosse
25;fr;Quel artiste a décoré une fontaine à côté du centre Beaubourg, à Paris ?;Jean Tinguely;Charles Despiau;Pol Bury;David Smith;Expert;La fontaine Stravinski évoque l'oeuvre musicale du compositeur russe Stravinski.;https://fr.wikipedia.org/wiki/Fontaine_Stravinski
26;fr;Dans quelle ville belge peut-on admirer une statue du soldat légendaire Silvius Brabo ?;Anvers;Bruxelles;Bastogne;Namur;Expert;La statue de Silvius Brabo brandissant et jetant la main d'Antigone est située sur la Grand-Place d'Anvers.;https://fr.wikipedia.org/wiki/Silvius_Brabo
27;fr;Qui a réalisé « Le Passe-muraille », statue installée devant la maison où habitait Marcel Aymé ?;Jean Marais;Antoine Blondin;Aragon;Jacques Prévert;Expert;Jean Marais est enterré dans le petit cimetière de Vallauris, la ville des potiers, où il a passé les dernières années de sa vie.;https://fr.wikipedia.org/wiki/Jean_Marais
28;fr;Quel sculpteur a mis au point une technique de moulage du verre au XIXe siècle ?;Henry Cros;Jules Coutan;Louis Convers;Pierre Curillon;Expert;Henry Cros a suivi l'enseignement des sculpteurs François Jouffroy et Antoine Étex et du peintre Jules Valadon.;https://fr.wikipedia.org/wiki/Henry_Cros
29;fr;Quelle sculpture de Gian Lorenzo Bernini, dit Le Bernin, se trouve à Londres ?;« Neptune et Triton »;« Rapt de Prosperine »;« Apollon et Daphné »;« Fontaine du Triton »;Expert;L'art de Le Bernin, typiquement baroque, est caractérisé par la recherche du mouvement et des effets d'illusion.;https://fr.wikipedia.org/wiki/Gian_Lorenzo_Bernini
30;fr;Quel sculpteur, aimé de Louis XIV, a beaucoup travaillé pour le château de Versailles ?;Antoine Coysevox;Thomas Boudin;Thibaud Maistrier;Gervais Drouet;Expert;Antoine Coysevox fut le décorateur du célèbre navire de guerre « le Soleil royal ».;https://fr.wikipedia.org/wiki/Antoine_Coysevox
