1;fr;Quelle célèbre et extravagante héritière a été plusieurs fois cambriolée en 2013 ?;Paris Hilton;Milla Jovovich;Brittany Murphy;Tara Reid;Débutant;En 2006, Paris Hilton a été considérée  comme la personne au monde la plus exposée médiatiquement.;https://fr.wikipedia.org/wiki/Paris_Hilton
2;fr;Quelle Miss France a pris la pose pour la marque Cosmoparis en 2013 ?;Marine Lorphelin;Delphine Wespiser;Flora Coquerel;Laury Thilleman;Débutant;Marine Lorphelin, ambassadrice légitime de l'Europe, a reçu en 2013 le titre de Miss World Europe par le comité Miss Monde.;https://fr.wikipedia.org/wiki/Marine_Lorphelin
3;fr;Quel acteur français fut au top des sommes gagnées entre janvier et juin 2013 ?;Dany Boon;Kad Merad;Jamel Debbouze;Franck Dubosc;Débutant;Dany Boon est devenu en 2008 l'acteur le mieux payé de l'histoire du cinéma européen grâce au succès de « Bienvenue chez les Ch'tis ».;https://fr.wikipedia.org/wiki/Dany_Boon
4;fr;Quelle star a posté sur son compte Instagram en 2013 une photo de son piercing de dent ?;Rihanna;Gwen Stefani;Beyoncé;Jennifer Lopez;Débutant;Rihanna, qui comptabilise 4 singles ayant atteint le million de ventes au Royaume-Uni, a déjà remporté plus de 350 récompenses.;https://fr.wikipedia.org/wiki/Rihanna
5;fr;Quelle First Lady a souhaité bon anniversaire à son mari sur Twitter en 2013 ?;Michelle Obama;Laura Bush;Hillary Clinton;Barbara Bush;Débutant;Michelle Obama est la première « Première dame » (First Lady) afro-américaine de l'histoire des États-Unis.;https://fr.wikipedia.org/wiki/Michelle_Obama
6;fr;Quelle chanteuse excentrique planétaire a échappé de peu à une arthroplastie en 2013 ?;Lady Gaga;Rihanna;Jennifer Lopez;Beyoncé;Débutant;Lady Gaga est reconnue pour ses excentricités flamboyantes qu'elle transmet à l'industrie de la musique au travers de la mode.;https://fr.wikipedia.org/wiki/Lady_Gaga
7;fr;Quelle sportive et mannequin fut en 2013 la sportive la mieux payée au monde ?;Maria Sharapova;Serena Williams;Martina Hingis;Nadia Petrova;Débutant;Maria Sharapova est la première Russe à remporter le tournoi de Wimbledon, et ce lors de l'édition 2004.;https://fr.wikipedia.org/wiki/Maria_Sharapova
8;fr;Quel anniversaire Madonna a-t-elle fêté avec tous ses amis en août 2013 ?;Ses 55 ans;Ses 45 ans;Ses 65 ans;Ses 35 ans;Débutant;Madonna a marqué son époque par son immense succès mondial sur la scène musicale ainsi que par ses provocations.;https://fr.wikipedia.org/wiki/Madonna
9;fr;Quel DJ français affilié à la french touch a tourné une vidéo totalement nu en 2013 ?;Bob Sinclar;David Guetta;Laurent Wolf;Claude Challe;Débutant;Bob Sinclar a également utilisé les noms de scène The Mighty Bop, Chris the French kiss et Reminiscence Quartet.;https://fr.wikipedia.org/wiki/Bob_Sinclar
10;fr;Qui est devenue en août 2013 la femme la plus suivie sur le réseau social Twitter ?;Katy Perry;Nicole Scherzinger;Dannii Minogue;Geri Halliwell;Débutant;Katy Perry est la seule artiste à être restée plus de 52 semaines consécutives dans le top 10 du Billboard Hot 100.;https://fr.wikipedia.org/wiki/Katy_Perry
11;fr;Quelle ambassadrice pleine de charme a défendu le Global Gift Gala en 2013 ?;Eva Longoria;Teri Hatcher;Marcia Cross;Dana Delany;Confirmé;Lors d'une entrevue à propos de « Desperate Housewives », Eva Longoria a admis être sous Ritalin pour traiter son hyperactivité.;https://fr.wikipedia.org/wiki/Eva_Longoria
12;fr;Quel superbe mannequin sud-africain a été élu en 2013 plus beau corps du monde ?;Candice Swanepoel;Heidi Klum;Miranda Kerr;Adriana Lima;Confirmé;Candice Swanepoel, qui parle couramment trois langues, est devenue en 2015 ambassadrice internationale pour Biotherm.;https://fr.wikipedia.org/wiki/Candice_Swanepoel
13;fr;Quelle star habituée des lieux a été vue sexy au carnaval 2013 de la Barbade ?;Rihanna;Jennifer Lopez;Gwen Stefani;Beyoncé;Confirmé;Rihanna a été la personnalité la plus aimée sur Facebook le 16 mai 2013, détrônant ainsi le statut d'Eminem.;https://fr.wikipedia.org/wiki/Rihanna
14;fr;Quel humoriste anglais a fait en 2013 des révélations sur son ex-femme Katy Perry ?;Russell Brand;Bob Todd;Ben Elton;Mike Myers;Confirmé;Russell Brand se fit connaître du grand public anglais en présentant le spin off de « Big Brother » intitulé « Big Brother's Big Mouth ».;https://fr.wikipedia.org/wiki/Russell_Brand
