1;fr;Comment appelle-t-on une eau du robinet commercialisée en bouteilles ?;Eau de table;Eau plate;Eau douce;Eau de Seltz;Débutant;De manière générale une eau minérale naturelle doit avoir une origine souterraine et une composition chimique stable.;https://fr.wikipedia.org/wiki/Eau_minérale_naturelle
2;fr;À quel groupe agroalimentaire français appartient la marque Volvic ?;Danone;Régilait;Lactalis;Sodebo;Débutant;En Amérique du Nord, Volvic est considérée comme une eau de source, du fait de sa faible teneur en minéraux.;https://fr.wikipedia.org/wiki/Volvic_(eau_en_bouteille)
3;fr;Laquelle de ces eaux minérales est naturellement gazeuse ?;Vichy Célestins;Volvic;Vittel;Hépar;Débutant;Sa source se nomme Les Célestins, nom venant d'un ancien couvent situé juste au-dessus de la source et se situe dans Vichy.;https://fr.wikipedia.org/wiki/Vichy_Célestins
4;fr;Quelle eau minérale a utilisé le célèbre « Ça va fort » comme slogan publicitaire ?;Saint-Yorre;Jouvence;Thonon;Thonon;Débutant;Vichy Saint Yorre appartient au groupe des eaux très minéralisées et a été reconnue bénéfique à la santé.;https://fr.wikipedia.org/wiki/Saint-Yorre_(eau_minérale)
5;fr;Quelle est la première marque mondiale d'eaux gazeuses embouteillées ?;Perrier;Rozana;Saint-Yorre;Badoit;Débutant;Perrier est une eau minérale gazeuse française issue de la source des Bouillens nommée depuis 1903 source Perrier.;https://fr.wikipedia.org/wiki/Perrier_(eau_minérale)
6;fr;Qui a autorisé la marque Badoit à utiliser son célébrissime « Y'a de la joie » ?;Charles Trenet;Charles Aznavour;Charles Dumont;Charles Berling;Débutant;Dès 1778, ses vertus « apéritives et exhilarantes » furent reconnues par Richard Marin de Laprade, médecin honoraire du roi Louis XVI.;https://fr.wikipedia.org/wiki/Badoit
7;fr;Laquelle de ces eaux n'est pas une eau naturelle gazeuse de la marque Badoit ?;Badoit jaune;Badoit vert;Badoit rouge;Badoit aromatisée;Débutant;En 2012, Badoit représente 12,6 % en volume et 16,1 % en valeur du marché des eaux naturelles gazeuses en France.;https://fr.wikipedia.org/wiki/Badoit
8;fr;Quelle est la seule eau minérale naturelle de Bretagne, dans les Côtes-d'Armor ?;Plancoët;Edelvia;Aproz;Asperjoc;Débutant;Depuis 2011, une eau finement gazeuse « Plancoët Fines Bulles » a été lancée pour la clientèle de l'hôtellerie et restauration.;https://fr.wikipedia.org/wiki/Plancoët_(eau)
9;fr;Comment appelle-t-on une eau d'origine souterraine naturellement conforme ?;Eau de source;Eau déminéralisée;Eau gazeuse;Eau usée;Débutant;Une eau de source a bénéficié d'une protection contre la pollution et n'a subi ni traitement chimique ni adjonction.;https://fr.wikipedia.org/wiki/Eau_minérale_naturelle
10;fr;Quel pays européen est le plus gros consommateur d'eau en bouteille ?;Italie;Belgique;Espagne;Allemagne;Débutant;En 2004, la consommation mondiale d'eau en bouteille en plastique représentait 154 milliards de litres.;https://fr.wikipedia.org/wiki/Eau_en_bouteille
11;fr;Laquelle de ces eaux n'est pas une eau minérale espagnole ?;Valvert;Viladrau;Aquarel;Bezoya;Confirmé;Valvert est une eau qui prend sa source au coeur de la forêt d'Étalle, en Gaume, au sud de l'Ardenne belge.;https://fr.wikipedia.org/wiki/Valvert_(eau_minérale)
12;fr;Dans quel département français se situe la source de Volvic ?;Puy-de-Dôme;Lozère;Cantal;Vaucluse;Confirmé;2 sites de 12 lignes de production réalisent 1 milliard de bouteilles produites par an, soit 4 millions de bouteilles produites par jour.;https://fr.wikipedia.org/wiki/Volvic_(eau_en_bouteille)
13;fr;À quelle société appartient la marque d'eau minérale Vittel ?;Nestlé Waters;PepsiCo;Danone;Orangina;Confirmé;Son histoire se confond avec celle du thermalisme et débute en 1854 avec l'achat d'une fontaine par Louis Bouloumié à Vittel.;https://fr.wikipedia.org/wiki/Vittel_(eau_minérale)
14;fr;Quelle eau minérale a sa source située dans le département de la Lozère ?;Quézac;Quibio;Quench;Quret;Confirmé;La source de Quézac était déjà connue par les Celtes et les Gallo-Romains qui l'utilisaient pour des thermes.;https://fr.wikipedia.org/wiki/Quézac_(eau_minérale)
15;fr;Combien de litres d'eau minérale la marque Évian produit-elle chaque année ?;1,5 milliard;1 milliard;500 millions;2 milliards;Confirmé;40 % des ventes se font en France où la marque représente 18 % du marché des eaux plates en bouteille.;https://fr.wikipedia.org/wiki/Évian_(eau_minérale)
16;fr;Quelle eau a été reconnue dès 1778 pour ses vertus apéritives et exhilarantes ?;Badoit;Contrex;Perrier;Saint-Yorre;Confirmé;2015 a vu le lancement de Badoit en Canettes : Badoit Rouge, Badoit Citron et Badoit Citron vert (Lime).;https://fr.wikipedia.org/wiki/Badoit
